Station Code,Station Name,Country,State,Latitude,Longitude,Elevation,Start,End,Timezone UTC,Timezone Name,Source,Wind Direction,Wind Speed,Wind Gust,Sea Level Pressure,Dry Bulb Temperature,Wet Bulb Temperature,Relative Humidity,Rain,Rain Intensity,Cloud Oktas,Mean Correction Factors
001006,WYNDHAM AERO,Australia,WA,-15.51,128.1503,3.8,1951,2023,UTC +08:00,Australia/Perth,BOM,True,True,True,True,True,True,True,True,True,False,
001007,TROUGHTON ISLAND,Australia,WA,-13.7542,126.1485,6.0,1956,2023,UTC +08:00,Australia/Perth,BOM,True,True,True,True,True,True,True,True,True,False,
001018,MOUNT ELIZABETH,Australia,WA,-16.4181,126.1025,546.0,1973,2023,UTC +08:00,Australia/Perth,BOM,True,True,False,True,True,True,True,False,False,True,
001019,KALUMBURU,Australia,WA,-14.2964,126.6453,23.0,1997,2023,UTC +08:00,Australia/Perth,BOM,True,True,True,True,True,True,True,True,True,False,
001020,TRUSCOTT,Australia,WA,-14.09,126.3867,51.0,1944,2023,UTC +08:00,Australia/Perth,BOM,True,True,True,True,True,True,True,True,True,True,
002032,WARMUN,Australia,WA,-17.0154,128.2174,203.0,1897,2023,UTC +08:00,Australia/Perth,BOM,True,True,False,True,True,True,True,False,False,True,
002056,KUNUNURRA AERO,Australia,WA,-15.7814,128.71,44.0,1971,2023,UTC +08:00,Australia/Perth,BOM,True,True,True,True,True,True,True,True,True,True,
002064,ARGYLE AERODROME,Australia,WA,-16.638,128.4516,164.0,1986,2023,UTC +08:00,Australia/Perth,BOM,True,True,True,True,True,True,True,True,True,True,
003003,BROOME AIRPORT,Australia,WA,-17.94711586,122.2358698,7.4,1939,2023,UTC +08:00,Australia/Perth,BOM,True,True,True,True,True,True,True,True,True,True,
003030,BIDYADANGA,Australia,WA,-18.6844,121.7803,11.0,1891,2023,UTC +08:00,Australia/Perth,BOM,True,True,False,True,True,True,True,False,False,True,
003032,DERBY AERO,Australia,WA,-17.3706,123.6611,6.2,1951,2023,UTC +08:00,Australia/Perth,BOM,True,True,True,True,True,True,True,True,True,True,
003057,CYGNET BAY,Australia,WA,-16.4513,123.0087,7.0,1963,2023,UTC +08:00,Australia/Perth,BOM,True,True,False,True,True,True,True,False,False,True,
